height,timestamp,gas_used,gas_wanted,tx_count,total_fee_base,total_fee_osmo,fee_per_gas_osmo,load,max_gas,status,error
45947243,2025-10-10T21:02:33.225877+00:00,0,0,0,0,0.0,0.0,0.0,300000000,ok,
45947244,2025-10-10T21:02:35.023081+00:00,17598702,43637597,54,887773,0.887773,5.0445368073168126e-08,0.05866234,300000000,ok,
45947245,2025-10-10T21:02:36.407636+00:00,14902997,40804088,32,920661,0.920661,6.177690299474663e-08,0.049676656666666666,300000000,ok,
45947246,2025-10-10T21:02:37.915246+00:00,21454359,38251322,50,941688,0.941688,4.389261874475019e-08,0.07151453,300000000,ok,
45947247,2025-10-10T21:02:42.015894+00:00,10177087,25253581,25,484828,0.484828,4.763917219141391e-08,0.03392362333333333,300000000,ok,
45947248,2025-10-10T21:02:44.043254+00:00,3822397,6537775,7,77407,0.077407,2.0250905387378653e-08,0.012741323333333334,300000000,ok,
45947249,2025-10-10T21:02:45.114909+00:00,3800877,7219091,9,219342,0.219342,5.770826048830309e-08,0.01266959,300000000,ok,
45947250,2025-10-10T21:02:46.219683+00:00,6297741,11768213,17,167693,0.167693,2.6627484363043826e-08,0.02099247,300000000,ok,
45947251,2025-10-10T21:02:47.489462+00:00,6440465,13049920,17,159449,0.159449,2.4757373885270706e-08,0.021468216666666668,300000000,ok,
45947252,2025-10-10T21:02:48.502645+00:00,10437981,21123246,24,303115,0.303115,2.9039619826861154e-08,0.03479327,300000000,ok,
45947253,2025-10-10T21:02:49.705687+00:00,4372208,8764250,12,370783,0.370783,8.480451982156384e-08,0.014574026666666667,300000000,ok,
45947254,2025-10-10T21:02:50.722351+00:00,5158438,10399771,15,139378,0.139378,2.7019419444413213e-08,0.017194793333333333,300000000,ok,
45947255,2025-10-10T21:02:51.788736+00:00,1485921,1891182,3,19852,0.019852,1.3360064229524989e-08,0.00495307,300000000,ok,
45947256,2025-10-10T21:02:52.803822+00:00,4855127,9096512,7,99778,0.099778,2.055105870557042e-08,0.016183756666666667,300000000,ok,
45947257,2025-10-10T21:02:53.844309+00:00,3116796,5564662,8,188745,0.188745,6.05573800787732e-08,0.01038932,300000000,ok,
45947258,2025-10-10T21:02:54.978389+00:00,5739375,8234032,9,91849,0.091849,1.6003310464989656e-08,0.01913125,300000000,ok,
45947259,2025-10-10T21:02:56.058332+00:00,2391151,3557951,6,37074,0.037074,1.5504666999281936e-08,0.007970503333333333,300000000,ok,
45947260,2025-10-10T21:02:57.182354+00:00,2482452,6485000,5,66854,0.066854,2.693063148854439e-08,0.00827484,300000000,ok,
45947261,2025-10-10T21:02:58.228348+00:00,4772765,12050643,8,395194,0.395194,8.28018978516646e-08,0.015909216666666667,300000000,ok,
45947262,2025-10-10T21:02:59.622555+00:00,1371524,5767546,4,324573,0.324573,2.3665134551054157e-07,0.004571746666666667,300000000,ok,
45947263,2025-10-10T21:03:00.635956+00:00,1847740,2700925,4,31787,0.031787,1.7203177936289738e-08,0.006159133333333333,300000000,ok,
45947264,2025-10-10T21:03:01.630176+00:00,2123757,3881358,5,180366,0.180366,8.492779541162195e-08,0.00707919,300000000,ok,
45947265,2025-10-10T21:03:02.707988+00:00,5984940,14419706,13,310504,0.310504,5.188088769478057e-08,0.0199498,300000000,ok,
45947266,2025-10-10T21:03:03.980376+00:00,2735282,21536566,6,229757,0.229757,8.399755491389919e-08,0.009117606666666667,300000000,ok,
45947267,2025-10-10T21:03:05.087754+00:00,868020,3225000,1,32250,0.03225,3.7153521808253264e-08,0.0028934,300000000,ok,
45947268,2025-10-10T21:03:06.080820+00:00,8553892,15427001,17,318426,0.318426,3.7225861631173275e-08,0.028512973333333334,300000000,ok,
45947269,2025-10-10T21:03:07.088860+00:00,1309618,3002689,5,167845,0.167845,1.2816332701596954e-07,0.0043653933333333336,300000000,ok,
45947270,2025-10-10T21:03:08.067135+00:00,2272380,4459820,4,50485,0.050485,2.2216794726234168e-08,0.0075746,300000000,ok,
45947271,2025-10-10T21:03:09.103096+00:00,5331655,8238193,11,95877,0.095877,1.798259639830409e-08,0.017772183333333334,300000000,ok,
45947272,2025-10-10T21:03:10.175360+00:00,2011305,3748816,6,57492,0.057492,2.8584426529044576e-08,0.00670435,300000000,ok,
45947273,2025-10-10T21:03:11.200952+00:00,22656441,47702520,59,1156303,1.156303,5.103639181458377e-08,0.07552147,300000000,ok,
