timestamp,block,base_fee_gwei,tip_gwei,gas_price_gwei
2025-05-29 00:18:18+00:00,11071098,31.25,0.0,31.25
2025-05-29 00:18:24+00:00,11071099,31.25,0.0,31.25
2025-05-29 00:18:30+00:00,11071100,31.25,0.0,31.25
2025-05-29 00:18:36+00:00,11071101,31.25,0.0,31.25
2025-05-29 00:18:42+00:00,11071102,31.25,0.0,31.25
2025-05-29 00:18:48+00:00,11071103,31.25,0.0,31.25
2025-05-29 00:18:54+00:00,11071104,31.25,0.0,31.25
2025-05-29 00:19:00+00:00,11071105,31.25,0.0,31.25
2025-05-29 00:19:06+00:00,11071106,31.25,0.0,31.25
2025-05-29 00:19:12+00:00,11071107,31.25,0.0,31.25
2025-05-29 00:19:18+00:00,11071108,31.25,0.0,31.25
2025-05-29 00:19:24+00:00,11071109,31.25,0.0,31.25
2025-05-29 00:19:30+00:00,11071110,31.25,0.0,31.25
2025-05-29 00:19:36+00:00,11071111,31.25,0.0,31.25
2025-05-29 00:19:42+00:00,11071112,31.25,0.0,31.25
2025-05-29 00:19:48+00:00,11071113,31.25,0.0,31.25
2025-05-29 00:19:54+00:00,11071114,31.25,1.5,32.75
2025-05-29 00:20:00+00:00,11071115,31.25,0.0,31.25
2025-05-29 00:20:06+00:00,11071116,31.25,0.0,31.25
2025-05-29 00:20:12+00:00,11071117,31.25,0.0,31.25
2025-05-29 00:20:18+00:00,11071118,31.25,0.0,31.25
2025-05-29 00:20:24+00:00,11071119,31.25,0.0,31.25
2025-05-29 00:20:30+00:00,11071120,31.25,0.0,31.25
2025-05-29 00:20:36+00:00,11071121,31.25,0.0,31.25
2025-05-29 00:20:42+00:00,11071122,31.25,4.40625,35.65625
2025-05-29 00:20:48+00:00,11071123,31.25,0.0,31.25
2025-05-29 00:20:54+00:00,11071124,31.25,0.0,31.25
2025-05-29 00:21:00+00:00,11071125,31.25,0.0,31.25
2025-05-29 00:21:06+00:00,11071126,31.25,0.0,31.25
2025-05-29 00:21:12+00:00,11071127,31.25,0.0,31.25
2025-05-29 00:21:18+00:00,11071128,31.25,7.8125,39.0625
2025-05-29 00:21:24+00:00,11071129,31.25,0.0,31.25
2025-05-29 00:21:30+00:00,11071130,31.25,0.0,31.25
2025-05-29 00:21:36+00:00,11071131,31.25,0.0,31.25
2025-05-29 00:21:42+00:00,11071132,31.25,0.0,31.25
2025-05-29 00:21:48+00:00,11071133,31.25,0.0,31.25
2025-05-29 00:21:54+00:00,11071134,31.25,0.0,31.25
2025-05-29 00:22:00+00:00,11071135,31.25,0.0,31.25
2025-05-29 00:22:06+00:00,11071136,31.25,0.0,31.25
2025-05-29 00:22:12+00:00,11071137,31.25,0.0,31.25
2025-05-29 00:22:18+00:00,11071138,31.25,0.0,31.25
2025-05-29 00:22:24+00:00,11071139,31.25,0.5,31.75
2025-05-29 00:22:30+00:00,11071140,31.25,5.0,36.25
2025-05-29 00:22:36+00:00,11071141,31.25,7.8125,39.0625
2025-05-29 00:22:42+00:00,11071142,31.25,0.0,31.25
2025-05-29 00:22:48+00:00,11071143,31.25,0.0,31.25
