delta,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
0.125,0.2,Bimodal,0.5,0.5000713698,0.02424763886760892,0.00014273959999999697,True
0.125,0.19,Bimodal,0.5,0.5000731267999999,0.024555615986474804,0.0001462535999998682,True
0.125,0.18000000000000002,Bimodal,0.5,0.5000737514,0.0246803328888145,0.00014750279999997673,True
0.125,0.17,Bimodal,0.5,0.5000729396,0.024561062763666562,0.00014587919999997645,True
0.125,0.16,Bimodal,0.5,0.5000724360000001,0.02448433770835771,0.00014487200000012912,True
0.125,0.15000000000000002,Bimodal,0.5,0.5000722296,0.024450494647687334,0.00014445919999994672,True
0.125,0.14,Bimodal,0.5,0.500072303,0.024459680561884467,0.0001446060000001026,True
0.125,0.13,Bimodal,0.5,0.5000726520000001,0.02451182344293046,0.00014530400000012378,True
0.125,0.12,Bimodal,0.5,0.500073263,0.024606617860167906,0.00014652599999998017,True
0.125,0.11,Bimodal,0.5,0.5000741270000001,0.024743568892445125,0.00014825400000018085,True
0.125,0.09999999999999999,Bimodal,0.5,0.5000752326,0.024921985906705028,0.00015046519999994956,True
0.125,0.09,Bimodal,0.5,0.5000765736,0.025140987917877857,0.00015314720000003668,True
0.125,0.08,Bimodal,0.5,0.5000781416,0.025399530818601957,0.00015628319999994034,True
0.125,0.06999999999999999,Bimodal,0.5,0.5000799283999999,0.025696436777091904,0.0001598567999998579,True
0.125,0.060000000000000005,Bimodal,0.5,0.5000812534000001,0.02592502972152589,0.00016250680000018392,True
0.125,0.05,Bimodal,0.5,0.500080389,0.02580513654866678,0.00016077799999991704,True
0.125,0.04,Bimodal,0.5,0.5000798402000001,0.025726205179459543,0.0001596804000001395,True
0.125,0.03,Bimodal,0.5,0.5000795934,0.025688661990361576,0.00015918679999993302,True
0.125,0.02,Bimodal,0.5,0.5000796386,0.02569272856308947,0.00015927720000008527,True
0.125,0.01,Bimodal,0.5,0.5000799636,0.025738431640978873,0.00015992719999990967,True
0.124,0.99,Bimodal,0.004977,0.5276155826,0.470031419744631,0.05523116519999993,False
0.124,0.98,Bimodal,1.0,0.5281060148,0.46796194346139197,0.056212029599999935,False
0.124,0.97,Bimodal,0.879277,0.5283727908,0.4663099004866762,0.056745581599999984,False
0.124,0.9600000000000001,Bimodal,0.019956,0.5268369794000001,0.46407226231065596,0.05367395880000014,False
0.124,0.9500000000000001,Bimodal,0.022623,0.5266262053999999,0.46198471784485123,0.05325241079999987,False
0.124,0.9400000000000001,Bimodal,1.0,0.5269439100000001,0.4605939655246593,0.05388782000000014,False
0.124,0.93,Bimodal,0.719457,0.5260128102,0.45796546666234345,0.05202562040000003,False
0.124,0.92,Bimodal,0.744647,0.5256998458,0.4551727942335914,0.05139969159999991,False
0.124,0.91,Bimodal,0.019032,0.5261081922,0.455026627306657,0.05221638440000009,False
0.124,0.9,Bimodal,0.026863,0.5254292079999999,0.4503472935484116,0.05085841599999985,False
0.124,0.89,Bimodal,0.808962,0.5250670422,0.4493032312728713,0.0501340844,False
0.124,0.88,Bimodal,0.024139,0.5249878868,0.4452369690176686,0.04997577359999994,False
0.124,0.87,Bimodal,0.107533,0.5244059973999999,0.4442083817151223,0.04881199479999987,False
0.124,0.86,Bimodal,0.03295,0.5241537036,0.43854745175629845,0.04830740720000004,False
0.124,0.85,Bimodal,0.211573,0.524006846,0.44106762139257427,0.04801369200000005,False
0.124,0.8400000000000001,Bimodal,0.020633,0.5239968424,0.4343392634790452,0.04799368479999999,False
0.124,0.8300000000000001,Bimodal,1.0,0.523501687,0.43315144486774326,0.04700337399999999,False
0.124,0.8200000000000001,Bimodal,1.0,0.5229796163999999,0.4282823670028216,0.045959232799999805,False
0.124,0.81,Bimodal,0.054884,0.5223700689999999,0.423527163158905,0.044740137999999874,False
0.124,0.8,Bimodal,0.070847,0.5226421086,0.42748759431691186,0.04528421720000009,False
0.124,0.79,Bimodal,0.072204,0.521242237,0.4135566748083224,0.042484474000000105,False
0.124,0.78,Bimodal,0.066113,0.5211572785999999,0.4122769531714906,0.04231455719999988,False
0.124,0.77,Bimodal,0.05715,0.5200455885999999,0.40029138348940724,0.04009117719999988,False
0.124,0.76,Bimodal,0.061458,0.5197236317999999,0.39738811996298345,0.03944726359999984,False
0.124,0.75,Bimodal,0.51102,0.518230383,0.3855517011384539,0.03646076600000003,False
0.124,0.74,Bimodal,0.358894,0.51745188,0.3773134434931315,0.03490375999999995,False
0.124,0.73,Bimodal,1.0,0.5170195277999999,0.3679879478164437,0.03403905559999987,False
0.124,0.72,Bimodal,0.139841,0.5152182540000001,0.3509323018178944,0.030436508000000195,False
0.124,0.7100000000000001,Bimodal,0.986784,0.514609063,0.3423584838748087,0.029218125999999955,False
0.124,0.7000000000000001,Bimodal,0.875496,0.5142765079999999,0.3374401168754156,0.02855301599999982,False
0.124,0.6900000000000001,Bimodal,0.843988,0.5129473134,0.32305877140224865,0.025894626799999987,False
0.124,0.68,Bimodal,0.786425,0.5120573204000001,0.3081303838242235,0.024114640800000142,False
0.124,0.67,Bimodal,0.708032,0.5115492226,0.30576874395798564,0.02309844520000004,False
0.124,0.66,Bimodal,0.758733,0.5111656326,0.3003299611851184,0.02233126520000006,False
0.124,0.65,Bimodal,0.196986,0.5099168872000001,0.28297813539749866,0.019833774400000115,False
0.124,0.64,Bimodal,0.568991,0.509234896,0.27344747419539345,0.018469792000000096,False
0.124,0.63,Bimodal,0.789434,0.5087198756,0.2622472553659174,0.017439751199999964,False
0.124,0.62,Bimodal,0.729202,0.5077593762,0.25024873948846055,0.015518752400000002,False
0.124,0.61,Bimodal,0.651485,0.5075050651999999,0.24446752558868926,0.015010130399999877,False
0.124,0.6,Bimodal,0.700436,0.5065917064,0.22811043283138607,0.013183412799999905,False
0.124,0.59,Bimodal,0.217111,0.505838931,0.2159485693581048,0.011677861999999983,False
0.124,0.5800000000000001,Bimodal,0.544047,0.5051521420000001,0.20460999201536845,0.010304284000000274,False
0.124,0.5700000000000001,Bimodal,0.239698,0.5047067986,0.19366985891087685,0.009413597200000012,False
0.124,0.56,Bimodal,0.658616,0.5042107553999999,0.18290237669885975,0.008421510799999865,False
0.124,0.55,Bimodal,0.474266,0.5038187034,0.17229607738132643,0.007637406800000024,False
0.124,0.54,Bimodal,0.283139,0.5033072054000001,0.16183632656836547,0.006614410800000137,False
0.124,0.53,Bimodal,0.3031,0.5029054398,0.1514578568444462,0.005810879600000041,False
0.124,0.52,Bimodal,0.531267,0.5025793949999999,0.14113640206320566,0.005158789999999858,False
0.124,0.51,Bimodal,0.632561,0.5021598634,0.13082445270490622,0.004319726799999923,False
0.124,0.5,Bimodal,0.368678,0.501763299,0.12040064569298063,0.003526598000000103,False
0.124,0.49,Bimodal,0.60292,0.5015635138,0.10971924918159075,0.003127027599999943,False
0.124,0.48000000000000004,Bimodal,0.407003,0.501170817,0.09864758519451985,0.0023416339999999813,False
0.124,0.47000000000000003,Bimodal,0.597446,0.5009688328,0.08689569540471621,0.0019376656000000825,False
0.124,0.46,Bimodal,0.404581,0.5006922523999999,0.07406088511687903,0.0013845047999998528,False
0.124,0.45,Bimodal,0.515359,0.5004130948,0.0593683387352438,0.0008261895999999158,False
0.124,0.44,Bimodal,0.54078,0.5002183248,0.04096780022943425,0.0004366495999998943,False
0.124,0.43,Bimodal,0.5,0.5000816682000001,0.02590075429577924,0.00016333640000021354,True
0.124,0.42000000000000004,Bimodal,0.5,0.5000720841999999,0.02437378003317769,0.00014416839999986664,True
0.124,0.41000000000000003,Bimodal,0.5,0.500067839,0.023667330906029984,0.00013567799999991692,True
0.124,0.4,Bimodal,0.5,0.5000653184,0.02323509177766692,0.00013063680000002797,True
0.124,0.39,Bimodal,0.5,0.5000637622,0.022961007900438774,0.00012752440000007859,True
0.124,0.38,Bimodal,0.5,0.5000628696,0.02279974836672793,0.00012573920000003014,True
0.124,0.37,Bimodal,0.5,0.5000624912,0.02272844573259259,0.0001249824000000288,True
0.124,0.36000000000000004,Bimodal,0.5,0.5000625325999999,0.022733642010464343,0.00012506519999977428,True
0.124,0.35000000000000003,Bimodal,0.5,0.5000629426,0.02280637780882043,0.00012588519999989778,True
0.124,0.34,Bimodal,0.5,0.5000636738,0.02294018450155069,0.00012734760000010503,True
0.124,0.33,Bimodal,0.5,0.5000646984,0.023129959886647213,0.00012939680000001452,True
0.124,0.32,Bimodal,0.5,0.500065995,0.023371467373333916,0.00013199000000008176,True
0.124,0.31,Bimodal,0.5,0.5000675406,0.023661005560651472,0.00013508120000005341,True
0.124,0.3,Bimodal,0.5,0.5000666644,0.023529662581652417,0.00013332880000005431,True
0.124,0.29000000000000004,Bimodal,0.5,0.5000658282,0.023395332723227746,0.0001316564000000131,True
0.124,0.28,Bimodal,0.5,0.5000653082,0.023308657671554208,0.00013061639999989438,True
0.124,0.27,Bimodal,0.5,0.5000650900000001,0.023269401764127763,0.0001301800000002018,True
0.124,0.26,Bimodal,0.5,0.5000651558,0.02327717511681798,0.0001303115999999882,True
0.124,0.25,Bimodal,0.5,0.5000654962000001,0.023331441548462693,0.00013099240000014056,True
0.124,0.24000000000000002,Bimodal,0.5,0.5000660986,0.023431467922310732,0.0001321971999999061,True
0.124,0.23,Bimodal,0.5,0.5000669528,0.02357632767931301,0.00013390560000003937,True
0.124,0.22,Bimodal,0.5,0.5000680468,0.02376493907324066,0.00013609360000010895,True
0.124,0.21000000000000002,Bimodal,0.5,0.500069372,0.023996038924423098,0.00013874400000002396,True
0.124,0.2,Bimodal,0.5,0.5000709205999999,0.024268216039343357,0.00014184119999982592,True
0.124,0.19,Bimodal,0.5,0.5000726844,0.024579964851277038,0.00014536879999993424,True
0.124,0.18000000000000002,Bimodal,0.5,0.5000730381999999,0.024660169693524078,0.00014607639999986155,True
0.124,0.17,Bimodal,0.5,0.5000722634,0.024544908292593776,0.00014452679999998885,True
0.124,0.16,Bimodal,0.5,0.5000717944,0.02447234355433776,0.000143588800000094,True
0.124,0.15000000000000002,Bimodal,0.5,0.5000716158,0.024442816242523355,0.00014323160000007107,True
0.124,0.14,Bimodal,0.5,0.5000717178,0.024456446882533588,0.00014343560000007471,True
0.124,0.13,Bimodal,0.5,0.5000720924000001,0.02451312348086265,0.00014418480000011336,True
0.124,0.12,Bimodal,0.5,0.500072725,0.024612532727332753,0.00014544999999999142,True
0.124,0.11,Bimodal,0.5,0.5000736078,0.024754160135588985,0.00014721559999997247,True
0.124,0.09999999999999999,Bimodal,0.5,0.5000747322,0.024937278520433703,0.00014946439999996564,True
0.124,0.09,Bimodal,0.5,0.500076088,0.025160983196149855,0.00015217600000005937,True
0.124,0.08,Bimodal,0.5,0.50007767,0.0254242198983762,0.00015534000000005932,True
0.124,0.06999999999999999,Bimodal,0.5,0.5000794684000001,0.025725773809116354,0.00015893680000012012,True
0.124,0.060000000000000005,Bimodal,0.5,0.500080433,0.025899170307560726,0.00016086600000009277,True
0.124,0.05,Bimodal,0.5,0.500079615,0.025784150844697824,0.00015922999999995469,True
0.124,0.04,Bimodal,0.5,0.5000791088,0.025710291589728977,0.00015821759999989915,True
0.124,0.03,Bimodal,0.5,0.5000789014,0.025677999702722654,0.00015780279999999536,True
0.124,0.02,Bimodal,0.5,0.5000789822,0.025687470944438795,0.00015796440000004353,True
